3.3333333 7.75 0.375 2.3333333 5.75 1.2857143
5.3333333 5.25 2.125 1.6666667 3 1.2857143
4.5 5.25 1.875 1 1.75 0.42857143
5.3333333 7.75 3 2.6666667 4.5 2.4285714
4.8333333 4.75 0.875 2.6666667 4 2.5714286
5.3333333 5 2.25 1 3 0.85714286
2.8333333 6 1 3.3333333 6 2.8571429
5.6666667 6.25 1.875 3.6666667 4.25 1.2857143
4.5 5.75 1.5 2.6666667 5.75 2.7142857
3.5 5.25 0.75 2.6666667 5 2.5714286
3.6666667 5.75 2 2 3.5 1.5714286
5.8333333 6 2.875 2.6666667 4.5 2.7142857
5.6666667 4.5 4.125 2.6666667 4 2.2857143
6 5.5 1.75 4.6666667 4 1.5714286
5.8333333 5.75 3.625 5 5.5 3
4.6666667 4.75 2.375 2.6666667 4.25 0.71428571
4.3333333 4.75 1.5 2 4 1.2857143
5 6.75 2.25 2 2.5 1.7142857
5.6666667 5.25 4 4.3333333 5.25 3.7142857
6.3333333 8.75 3 3.6666667 3.75 2.5714286
5.8333333 8 2 1.6666667 2.5 0.57142857
6.6666667 8.5 4.125 2 3.25 2.1428571
5 6.25 1.875 3.3333333 5.75 3.1428571
3.8333333 5.5 1.625 2.6666667 3 1
5.6666667 5.5 1.25 2.3333333 3.75 1.2857143
5.3333333 4 3.375 1.6666667 3.5 1.4285714
5.5 5.25 4.5 2.6666667 2.25 0.71428571
6 5 2.125 1.6666667 3 1.1428571
4.6666667 6 4.25 2 3 2
5 4.5 0.75 2.6666667 3.25 1.8571429
3.5 5.75 1.375 2 3.5 1.8571429
3 6 0.25 1.6666667 3 1
5 5.25 1.75 2.6666667 5.25 2
4.1666667 6 2.375 3.3333333 4.25 1.8571429
3.3333333 3.75 1.5 1.3333333 3 0.85714286
4.8333333 5.25 0.5 1.6666667 4.75 1.4285714
5.5 7 3.5 2.6666667 4 2
3.8333333 4.5 2.25 3 3 1.7142857
6.3333333 4 3.875 4 5.25 3.2857143
5.8333333 7.75 2.5 3 5.25 3.1428571
3.8333333 5.75 1.625 2.6666667 4.25 2.1428571
3.1666667 5 1.25 1.6666667 4.25 1.5714286
1.8333333 5.25 1 1.6666667 3.75 0.57142857
4.1666667 5.25 1.875 2 3 1.4285714
6.3333333 5.5 2.75 4.6666667 5.5 2
6 5.5 4.5 3 4.25 1.2857143
7.1666667 8.5 4 0.66666667 1 1
3.1666667 4.75 1.375 2.6666667 3.25 1.2857143
4.3333333 5.5 2.75 2 2.25 1
4.5 6.25 1.125 3.6666667 5.5 2.1428571
5.5 5.75 3.75 1.6666667 2.25 0.14285714
7 6 2.125 2.3333333 4.5 1.4285714
