201 0 7 13 0 0                                                                  
     23  19  13   4  46  10  17  22  10  69  65  82 156                         
    173  91  96   8   2  10  21  12  17  11  17  13  25                         
202 1 7 1110 0                                                                  
     33  22  12  17  43   8  17  30  10  65  60  98 195                         
    174  81 106   9  15  17  33  12  22  31  32  20  37                         
203 0 7 12 6 0                                                                  
     34  24  14  22  36  11  19  27  19  50  49  86 228                         
    168  84 101   1   7  16  45  10  43  21  18  19  40                         
204 0 7 1111 0                                                                  
     29  23  12   9  38   9  19  25  11 114  59 103 144                         
    130  84 101  10  15  14  25  21  26  19  28  11  44                         
205 0 7 12 5 0                                                                  
     16  25  11  10  51   8  25  28  24 112  54 122 160                         
    184  98  99   9   9  15  28  16  35  21  25  10  28                         
206 1 7 12 6 0                                                                  
     30  25  12  20  42  10  23  28  18  94  84 113 201                         
    188  86 116  10  10  16  36  14  27  18  30  16  42                         
208 1 7 12 8 0                                                                  
     36  33  19  36  69  17  25  42  41 129  96 139 333                         
    192  95 118  16  19  20  53  23  45  40  34  20  48                         
209 1 7 1111 0                                                                  
     28  25  10   9  35  10  18  29  11  96  83  95 174                         
    168  97 113   5   6  16  26  17  13  26  24   9  28                         
210 1 7 12 5 0                                                                  
     30  25  15  11  32  11  21  35   8 103  67 114 197                         
    168  84 107   6   4   7  36  13  18  26  27  17  38                         
211 1 7 12 5 0                                                                  
     20  25  13   6  39   9  21  27  16  89  49 101 178                         
    181  74  97   7   9  15   7   6  24  16  26  12  25                         
212 0 7 12 0 0                                                                  
     27  26  13   6  27  10  16  25  13  88  35 107 137                         
    187  95 115   7   7  15  27  20  36  27  24  17  37                         
213 0 7 1210 0                                                                  
     32  21  16   8  27   1   7  29  11 103  62 136 154                         
    173 100 106   3  18   4  45  18  19  24  26  10  43                         
214 0 7 12 9 0                                                                  
     38  31  18  12  29  10  11  30  14  83  57 108 201                         
    181  90 114   9   8  17  40  12  37  23  27  17  47                         
215 1 7 12 8 0                                                                  
     17  21   7   6  35   5  10  11  10  99  65  87 147                         
    166  94  90  10   6  14   0   9  16   6  25   8  23                         
216 0 7 12 9 0                                                                  
     34  28  20  24  56  14  22  29  26  49  34  84 171                         
    169  96 105   4  14  17  24  14  21  31  25  23  37                         
217 0 7 13 1 0                                                                  
     25  31  12  18  37   7  12  18  11  65  53  80 125                         
    186  97 113   9   8  18  42  13  37  20  28  17  24                         
218 1 7 12 1 0                                                                  
     33  31  12  30  48  11  23  29  18  66  54 113 186                         
    174  86 111  10  12   9  21  11  38  24  30  18  46                         
219 0 7 13 1 0                                                                  
     40  23  15  20  65  10  23  23  35  72  86 104 222                         
    174  88 102   7  11  18  30  18  50  20  20  12  45                         
220 1 7 12 7 0                                                                  
     30  22  13  20  49   8  17  26  20  95  66 110 161                         
    188  90  94   5  11  17  18  14  31  16  33  18  28                         
221 1 7 12 1 0                                                                  
     36  28  19  22  59  13  24  33  36  82  79 103 205                         
    193  98 117  17  14  20  32  16  29  28  21  19  44                         
222 0 7 12 9 0                                                                  
     24  16  16  14  56   5  17  27  11 106  49  80 118                         
    164  84  92   6   9  13   5  13  28   8  21  12  28                         
223 0 7 12 8 0                                                                  
     40  26  17  26  56  13  24  39  25  88  69 121 225                         
    191  95 105  11  16  18  54  20  31  23  31  23  43                         
224 1 7 12 6 0                                                                  
     30  24  16  19  50  14  26  28  24 112  69 115 185                         
    184  87  87   9   8  19  39  16  38  25  32  16  38                         
225 0 7 14 0 0                                                                  
     42  27  17  27  25   7  13  17   4 126 115 200 236                         
    198  94 116  21  19  20  47  24  29  30  29  20  41                         
226 1 7 12 3 0                                                                  
     33  27  13  16  29   8  17  29  13  68  63 116 219                         
    159  84 104   6   8  13   9  15  23   6  21  15  35                         
227 1 7 12 4 0                                                                  
     32  22  12  15  39   9  20  26  17  74  79 118 191                         
    180  79  93   3   7  14   0   8  34   8  25  11  24                         
228 0 7 12 9 0                                                                  
     31  21  13   5  55  13  19  26  19  96  87 121 180                         
    162  79 100   1   2  14  42  10  25   5  29  16  37                         
229 1 7 14 7 0                                                                  
     27  23  11   4  24   9  11  24   7  55  68 118 178                         
    173  92 102   3  11  14   6   7  18   5  16  12  33                         
230 0 7 13 2 0                                                                  
     31  23  13  11  44   4  16  30  16  81  60 128 189                         
    166  89  99   1   8  18  22  12   7  21  25  18  40                         
231 0 7 12 5 0                                                                  
     31  34  13   3  49   9  19  26  17  51  88  92 182                         
    179  91 100   2   7  19  21  17  21  21  26  17  22                         
232 1 7 12 0 0                                                                  
     17  30  14  13  46   9  17  23  13  52  53  94 143                         
    165  77  94   2  10  17  39   7  27   6  28  18  33                         
233 0 7 12 0 0                                                                  
     30  20  14  13  51   9  20  30  21 108  68 113 180                         
    181  90 111   9   8  19  68  15  43  37  27  16  35                         
234 0 7 12 6 0                                                                  
     28  19  15   8  33   9  14  27  20  81  68 116 159                         
    181  91  98   8   6  15  12   9  27  13  29  15  31                         
235 0 7 13 2 0                                                                  
     19  22  14   8  18   5  12  21   4  50  53  72 162                         
    178  89 100   3   4  12   2   6  16   9  17  17  22                         
236 0 7 12 0 0                                                                  
     28  20  12  14  31   8  15  30   8 100  66 144 205                         
    156  74 101   6  12  16  12   8  27  18  29  18  32                         
237 1 7 1210 0                                                                  
     38  25  13  13  41   9  23  31  15  56  67 130 198                         
    178  96  96   8   9  17  36   8  35  15  18  18  40                         
238 1 7 1111 0                                                                  
     34  28  14  10  48   9  22  28  20  81  76  96 199                         
    171  88 101   2   9  17  34  13  28  20  24  15  28                         
239 1 7 13 8 0                                                                  
     18  22   9   5  20   2   4  10   2  30  19  61 112                         
    156  85  90   3   5   6   2   2  18  10  11  12  23                         
240 1 7 12 7 0                                                                  
     16  20  12   8  42   6  18  35  13  93  73 111 185                         
    167  81  88   3   5  18  15  20  28   4  30  16  33                         
241 1 7 12 4 0                                                                  
     18  30  13  17  52  19  24  36  33  92  83 108 148                         
    175 101 103   9   3  14  30  21  34  33  32  17  41                         
242 1 7 12 6 0                                                                  
     32  21  16   9  63  15  20  32  25  95  77  92 178                         
    178  90 105  12  10  14  21  12  31  28  26  19  41                         
243 0 7 12 6 0                                                                  
     34  21  15   9  47   9  23  24  24  58  31  91 173                         
    159  76 101   1   3  15  21  11  43  12  25  17  48                         
244 0 7 12 1 0                                                                  
     21  22  15   8  29   9  12  24   8  65  67  84 137                         
    186  80 105   0   4  14  18  12  24  13  21  13  43                         
245 1 7 12 9 0                                                                  
     28  20  14  14  37   8  18  29  10  61  59 100 214                         
    189  87 100   4   4  13   3  11  26  23  22  16  40                         
246 1 7 12 3 0                                                                  
     39  24  14  25  41  14  17  24  11  82  70 104 244                         
    179  92 103   8   4  20  18  17  28  22  27  16  39                         
247 1 7 12 4 0                                                                  
     32  26  14  10  47  11  23  27  23  62  39  83 143                         
    173  90 104   7   7  20  54  15  27  22  23  14  35                         
248 1 7 1210 0                                                                  
     28  24  10   8  20   6  10  15  10  61  65  77 159                         
    175  73 103   7  10  10  42  17  18   1  26  12  38                         
249 0 7 12 5 0                                                                  
     24  20  16  22  44  11  19  32  18  71  60  94 154                         
    186 100 105   7   7  11  38  15  24  31  26  18  43                         
250 1 7 1111 0                                                                  
     31  19  14  13  28   8  22  26  17  61  49  70 120                         
    186  84 112   3   7  15  48  13  28  18  26  15  34                         
251 1 7 12 8 0                                                                  
     29  26  13  25  53  10  22  32  18  85  72 128 202                         
    185  87 111   4   8   9  33  16  25  15  22  16  38                         
252 0 7 1111 0                                                                  
     29  30  13  15  33   7  16  21  12  64  46  74 165                         
    180  88 101   1   4  11  -1   9  10   9  25  11  45                         
253 0 7 14 1 0                                                                  
     16  23  10   5  42   7  20  27  13  95  56 128 137                         
    172  93  89   1  10   5  36   6  15   6  21   5  13                         
254 1 7 12 4 0                                                                  
     25  25  15  26  32   5   7  24   5  46  77  72 121                         
    176  95 108   8   8  17  30  14  24   4  14  18  20                         
256 0 7 13 2 0                                                                  
     25  27  11  15  50   6  16  34  13  86  68  99 214                         
    160  83  97   4   6  10  33  14  28  19  21  13  39                         
257 1 7 12 3 0                                                                  
     37  31  15  16  54  14  28  31  20  88  79 114 223                         
    173  88 106   5   6  16  36  12  23  19  27  17  40                         
258 1 7 1211 0                                                                  
     30  26  13  19  36   7  21  27  14  89  55 121 222                         
    164  98 103   4   9  16  47  18  16  24  32  16  32                         
259 0 7 11 5 0                                                                  
     29  24  16  10  45   9  21  28  17 100  69 121 206                         
    181  85 106   9   7   8  60  17  28  27  27  16  36                         
260 1 7 12 4 0                                                                  
     37  34  11  17  56  18  24  31  27  80  70 112 229                         
    166  91 101  10  13  12  40  15  38  30  29  14  47                         
261 1 7 12 0 0                                                                  
     28  20  14   4  30   8  18  25   6  73  74  84 161                         
    189  89 106  10   5  15  35  16  15   8  24  15  37                         
262 0 7 1311 0                                                                  
     22  34  14  19  40  10  17  24  15  80  56 101 185                         
    161  86 100   1   4  16  27  15  19  11  25  19  35                         
263 1 7 12 4 0                                                                  
     38  21  14  18  56  18  26  37  31 120  69 109 205                         
    179  84 103   5   7  11  87  15  35  18  29  12  46                         
264 0 7 12 9 0                                                                  
     29  21  16  18  23   7  16  22   7  67  64  88 180                         
    158  95  97   6   8  17   9  13  36  27  20  18  43                         
265 0 7 1210 0                                                                  
     25  25  18  30  48   9  16  36  16 106  67 127 175                         
    177  88 102   4  14  20  28  17  24  20  30  17  33                         
266 1 7 13 7 0                                                                  
     28  27  12  13  16   5   6  12   4 101  65 106 172                         
    177  94  97  10   8   9   6   7  12   2  19  16  32                         
267 0 7 13 2 0                                                                  
     23  20  16  18  29   6  12  25   6  43  56 100 145                         
    151  73  95  10   3   8   9   4  11   5  13  13  29                         
268 1 7 14 0 0                                                                  
     11  20  15   9  39  13  16  22  15  73  81  73 130                         
    186  92 103   3   7  14   3   7  14   5  16  11  28                         
269 1 7 1211 0                                                                  
     45  37  16  29  32  10  16  30  16  73  69 101 220                         
    178  84 113   4  13  19  70  15  31  35  25  22  37                         
270 1 7 13 0 0                                                                  
     19  15  12   7  43  15  19  26  19 101  76 112 116                         
    184  84  92   8   8  17  33  14  21  18  28  14  19                         
271 1 7 12 8 0                                                                  
     41  21  10  11  41   9  16  28  14 124  95 119 220                         
    185  83 103   9  11  19   9  14  38  24  31  15  36                         
272 0 7 12 3 0                                                                  
     35  30  16  33  49   8  15  29  12  90  64 126 242                         
    174  92  93   6  14  14  68  18  27  33  21  17  42                         
273 1 7 12 0 0                                                                  
     34  24  21  16  46   9  14  24  10  89  98 116 236                         
    171  96 105   7  10  13 -12  20  26  11  31  13  41                         
274 0 7 13 2 0                                                                  
     19  22  15  12  39  10  16  26  17 118 113 116 252                         
    178  86  93  10  11  17  12  15  21  11  23  12  19                         
275 0 7 12 7 0                                                                  
     25  21  13  15  40   8  17  25  17  68  42  82 170                         
    145  78  95   3  17  16  13   7  16   5  21  17  40                         
276 0 7 11 4 0                                                                  
     36  28  19  33  61  15  24  36  39  81  70 104 210                         
    178  96  97  11   5  19  57  20  43  32  29  19  48                         
277 1 7 14 0 0                                                                  
     19  23  10   6  31   7  13  19  19  68  56  97 149                         
